date,actual,predicted
2025-10-23,259,253.43756580352783
2025-10-24,262,258.1464624404907
2025-10-27,268,264.4545855522156
2025-10-28,268,265.12541913986206
2025-10-29,269,267.58783757686615
2025-10-30,270,268.58783757686615
2025-10-31,269,269.88556611537933
2025-11-03,268,268.9764987230301
2025-11-04,269,267.9351726770401
2025-11-05,269,267.18002367019653
2025-11-06,269,266.24212288856506
2025-11-07,267,267.88556611537933
2025-11-10,269,271.158504486084
2025-11-11,274,270.1464624404907
2025-11-12,273,271.69090127944946
2025-11-13,272,272.9764987230301
2025-11-14,272,270.9646965265274
2025-11-17,267,267.88556611537933
2025-11-18,267,261.43756580352783
2025-11-19,268,268.31371998786926
2025-11-20,266,266.88556611537933
2025-11-21,271,266.92624616622925
2025-11-24,275,272.1938519477844
2025-11-25,276,273.2134153842926
2025-11-26,277,275.58783757686615
2025-11-28,278,276.58783757686615
2025-12-01,282,280.58783757686615
2025-12-02,285,282.9878988265991
2025-12-03,283,281.0649086236954
2025-12-04,280,280.9352717399597
2025-12-05,278,278.6049383878708
2025-12-08,277,277.9352717399597
2025-12-09,276,276.9764987230301
2025-12-10,278,274.80147647857666
2025-12-11,277,272.84741401672363
2025-12-12,278,279.2770154476166
2025-12-15,273,273.88556611537933
2025-12-16,274,268.15614795684814
2025-12-17,271,271.88556611537933
2025-12-18,271,269.5931361913681
2025-12-19,273,273.31371998786926
2025-12-22,270,265.84741401672363
2025-12-23,272,270.5931361913681
2025-12-24,273,271.6338632106781
2025-12-26,273,275.56011414527893
2025-12-29,273,274.35790848731995
2025-12-30,272,272.88556611537933
2025-12-31,271,271.9764987230301
2026-01-02,270,270.9764987230301
2026-01-05,267,267.9764987230301
2026-01-06,262,262.6049383878708
2026-01-07,260,257.8641586303711
2026-01-08,258,258.9352717399597
2026-01-09,259,257.92346954345703
2026-01-12,260,258.18002367019653
2026-01-13,260,257.24212288856506
2026-01-14,259,259.88556611537933
2026-01-15,257,257.9764987230301
2026-01-16,255,255.93527173995972
2026-01-20,246,246.6276936531067
2026-01-21,247,247.7276213169098
2026-01-22,248,250.02403616905212
2026-01-23,247,248.9052618741989
2026-01-26,255,256.2770154476166
2026-01-27,258,257.52005675435066
2026-01-28,256,254.06490862369537
2026-01-29,258,258.5453651547432
2026-01-30,259,258.33763521909714
2026-02-02,269,269.2206199914217
2026-02-03,269,267.2350203990936
2026-02-04,276,276.36794900894165
2026-02-05,275,273.7468810081482
2026-02-06,277,275.98940205574036
2026-02-09,274,269.84741401672363
2026-02-10,273,273.6049383878708
2026-02-11,275,273.9351726770401
2026-02-12,261,256.84741401672363
2026-02-13,255,249.77586555480957
2026-02-17,263,264.28853154182434
2026-02-18,264,263.873817384243
2026-02-19,260,260.88556611537933
2026-02-20,264,265.0923241376877
2026-02-23,266,266.73303323984146
2026-02-24,272,271.94075958803296
2026-02-25,274,275.9054203033447
2026-02-26,272,267.84741401672363
2026-02-27,264,264.9352717399597
2026-03-02,264,263.9076440036297
2026-03-03,263,263.88556611537933
2026-03-04,262,262.9764987230301
2026-03-05,260,260.9764987230301
2026-03-06,257,257.9352717399597
2026-03-09,259,257.5931361913681
2026-03-10,260,256.8178701400757
2026-03-11,260,257.24212288856506
2026-03-12,255,255.88556611537933
2026-03-13,250,246.08803391456604
2026-03-16,252,247.43305921554565
2026-03-17,254,251.25817131996155
2026-03-18,249,244.41939973831177
2026-03-19,248,245.32306385040283
2026-03-20,247,246.98728034459054
2026-03-23,251,253.0610408782959
2026-03-24,251,255.0273299217224
2026-03-25,252,254.61121702194214
2026-03-26,252,252.13606433570385
2026-03-27,248,247.89634779840708
2026-03-30,246,247.26006817817688
2026-03-31,253,254.7451274394989
2026-04-01,255,255.75024807453156
2026-04-02,255,254.41729301214218
2026-04-06,258,256.7961585521698
2026-04-07,253,248.38446140289307
