date,actual,predicted
2025-10-22,259.0,256.07398031309674
2025-10-23,262.0,258.02283000211827
2025-10-24,268.0,261.11911068212373
2025-10-27,268.0,266.89310746857905
2025-10-28,269.0,266.89348980260445
2025-10-29,270.0,267.85614121203474
2025-10-30,269.0,268.8187926214651
2025-10-31,268.0,267.669067626329
2025-11-03,269.0,266.69483394883093
2025-11-04,269.0,267.6698322943798
2025-11-05,269.0,267.6702146284051
2025-11-06,267.0,267.67059696243047
2025-11-07,269.0,265.72060027133284
2025-11-10,274.0,267.6713616304812
2025-11-11,273.0,272.67092759528794
2025-11-12,272.0,271.51814392794904
2025-11-13,272.0,270.54391025045095
2025-11-14,267.0,270.54429258447635
2025-11-17,267.0,265.6727418629605
2025-11-18,268.0,265.6731241969858
2025-11-19,266.0,266.6477402085093
2025-11-20,271.0,264.6985081854624
2025-11-21,275.0,269.57120590905424
2025-11-24,276.0,273.63663767692117
2025-11-25,277.0,274.5992890863515
2025-11-26,278.0,275.5619404957818
2025-11-28,282.0,276.5245919052122
2025-12-01,285.0,280.3740505408575
2025-12-02,283.0,283.2612401010979
2025-12-03,280.0,281.12887007990594
2025-12-04,278.0,278.20616904741166
2025-12-05,277.0,276.25770169241537
2025-12-08,276.0,275.2834680149173
2025-12-09,278.0,274.3092343374192
2025-12-10,277.0,276.25884869449146
2025-12-11,278.0,275.2834680149173
2025-12-12,273.0,276.25961336254215
2025-12-15,274.0,271.3865333049249
2025-12-16,271.0,272.3611493164484
2025-12-17,271.0,269.4380659499287
2025-12-18,273.0,269.438448283954
2025-12-19,270.0,271.38729797297566
2025-12-22,272.0,268.46383227243064
2025-12-23,273.0,270.4126819614522
2025-12-24,273.0,271.3884449750517
2025-12-26,273.0,271.3888273090771
2025-12-29,272.0,271.3892096431024
2025-12-30,271.0,270.4122996274268
2025-12-31,270.0,269.4380659499287
2026-01-02,267.0,268.46383227243064
2026-01-05,262.0,265.54113123993636
2026-01-06,260.0,260.6699628524458
2026-01-07,258.0,258.7214954974496
2026-01-08,259.0,256.7730281424534
2026-01-09,260.0,257.7476441539769
2026-01-12,260.0,258.7226424995257
2026-01-13,259.0,258.72302483355105
2026-01-14,257.0,257.7472618199515
2026-01-15,255.0,255.7987944649553
2026-01-16,246.0,253.85032710995912
2026-01-20,247.0,245.08222401247625
2026-01-21,248.0,246.05684002399968
2026-01-22,247.0,247.03145603552315
2026-01-23,255.0,246.05645768997434
2026-01-26,258.0,253.85223878008588
2026-01-27,256.0,256.7757044806309
2026-01-28,258.0,254.82456078745722
2026-01-29,259.0,256.77646914868166
2026-01-30,269.0,257.75146749423044
2026-02-02,269.0,267.4968629414143
2026-02-03,276.0,267.4972452754396
2026-02-04,275.0,274.3222336942813
2026-02-05,277.0,273.3350006599211
2026-02-06,274.0,275.2972320398301
2026-02-09,273.0,272.360766982423
2026-02-10,275.0,271.3865333049249
2026-02-11,261.0,273.33576532797184
2026-02-12,255.0,259.6957291749477
2026-02-13,263.0,253.85032710995912
2026-02-17,264.0,261.64496119799463
2026-02-18,260.0,262.6195772095181
2026-02-19,264.0,258.7214954974496
2026-02-20,266.0,262.6203418775688
2026-02-23,272.0,264.56919156659035
2026-02-24,274.0,270.4149759656043
2026-02-25,272.0,272.3638256546259
2026-02-26,264.0,270.4122996274268
2026-02-27,264.0,262.6184302074421
2026-03-02,263.0,262.6188125414674
2026-03-03,262.0,261.6441965299439
2026-03-04,260.0,260.6699628524458
2026-03-05,257.0,258.7214954974496
2026-03-06,259.0,255.7987944649553
2026-03-09,260.0,257.7476441539769
2026-03-10,260.0,258.7226424995257
2026-03-11,255.0,258.72302483355105
2026-03-12,250.0,253.85032710995912
2026-03-13,252.0,248.9791587224686
2026-03-16,254.0,250.9280084114902
2026-03-17,249.0,252.87685810051175
2026-03-18,248.0,248.00492504497052
2026-03-19,247.0,247.03069136747243
2026-03-20,251.0,246.05645768997434
2026-03-23,251.0,249.95453940204283
2026-03-24,252.0,249.95492173606817
2026-03-25,252.0,250.9295377475916
2026-03-26,248.0,250.92992008161698
2026-03-27,246.0,247.03069136747243
2026-03-30,253.0,245.08222401247625
2026-03-31,255.0,251.90530076119114
2026-04-01,255.0,253.85567978631408
2026-04-02,258.0,253.85606212033946
2026-04-06,253.0,256.77914548685914
2026-04-07,257.0,251.90185975496294
