date,price
2024-01-02,183.73129272460938
2024-01-03,182.35560607910156
2024-01-04,180.03964233398438
2024-01-05,179.31715393066406
2024-01-08,183.6521453857422
2024-01-09,183.2364501953125
2024-01-10,184.27566528320312
2024-01-11,183.6818389892578
2024-01-12,184.0084228515625
2024-01-16,181.74197387695312
2024-01-17,180.80174255371094
2024-01-18,186.69053649902344
2024-01-19,189.59042358398438
2024-01-22,191.896484375
2024-01-23,193.17320251464844
2024-01-24,192.5001983642578
2024-01-25,192.17359924316406
2024-01-26,190.44158935546875
2024-01-29,189.75869750976562
2024-01-30,186.1066436767578
2024-01-31,182.50404357910156
2024-02-01,184.9387664794922
2024-02-02,183.93914794921875
2024-02-05,185.7503204345703
2024-02-06,187.3536834716797
2024-02-07,187.46255493164062
2024-02-08,186.38377380371094
2024-02-09,187.14682006835938
2024-02-12,185.46212768554688
2024-02-13,183.3711395263672
2024-02-14,182.4891815185547
2024-02-15,182.2018280029297
2024-02-16,180.66578674316406
2024-02-20,179.9225311279297
2024-02-21,180.67572021484375
2024-02-22,182.7071990966797
2024-02-23,180.87388610839844
2024-02-26,179.52615356445312
2024-02-27,180.98289489746094
2024-02-28,179.7838134765625
2024-02-29,179.1198272705078
2024-03-01,178.03968811035156
2024-03-04,173.52081298828125
2024-03-05,168.58572387695312
2024-03-06,167.59474182128906
2024-03-07,167.47581481933594
2024-03-08,169.19020080566406
2024-03-11,171.19200134277344
2024-03-12,171.66766357421875
2024-03-13,169.5866241455078
2024-03-14,171.4397430419922
2024-03-15,171.0631561279297
2024-03-18,172.15325927734375
2024-03-19,174.49195861816406
2024-03-20,177.05859375
2024-03-21,169.824462890625
2024-03-22,170.72625732421875
2024-03-25,169.30914306640625
2024-03-26,168.179443359375
2024-03-27,171.74693298339844
2024-03-28,169.93345642089844
2024-04-01,168.49652099609375
2024-04-02,167.31724548339844
2024-04-03,168.11996459960938
2024-04-04,167.29747009277344
2024-04-05,168.0506134033203
2024-04-08,166.93080139160156
2024-04-09,168.13978576660156
2024-04-10,166.26683044433594
2024-04-11,173.46133422851562
2024-04-12,174.95773315429688
2024-04-15,171.13255310058594
2024-04-16,167.85240173339844
2024-04-17,166.4848175048828
2024-04-18,165.5334930419922
2024-04-19,163.5118865966797
2024-04-22,164.3443145751953
2024-04-23,165.39474487304688
2024-04-24,167.4956512451172
2024-04-25,168.3577880859375
2024-04-26,167.7731170654297
2024-04-29,171.93524169921875
2024-04-30,168.79383850097656
2024-05-01,167.7731170654297
2024-05-02,171.46946716308594
2024-05-03,181.72613525390625
2024-05-06,180.07119750976562
2024-05-07,180.75497436523438
2024-05-08,181.0919189453125
2024-05-09,182.90542602539062
2024-05-10,181.64515686035156
2024-05-13,184.850341796875
2024-05-14,185.99154663085938
2024-05-15,188.26397705078125
2024-05-16,188.38302612304688
2024-05-17,188.41281127929688
2024-05-20,189.57382202148438
2024-05-21,190.87379455566406
2024-05-22,189.43490600585938
2024-05-23,185.44577026367188
2024-05-24,188.52197265625
2024-05-28,188.5319061279297
2024-05-29,188.82958984375
2024-05-30,189.8218994140625
2024-05-31,190.7745361328125
2024-06-03,192.5408935546875
2024-06-04,192.85842895507812
2024-06-05,194.3667755126953
2024-06-06,192.98741149902344
2024-06-07,195.3789520263672
2024-06-10,191.6378631591797
2024-06-11,205.56021118164062
2024-06-12,211.4347686767578
2024-06-13,212.59579467773438
2024-06-14,210.8592071533203
2024-06-17,215.0071258544922
2024-06-18,212.64540100097656
2024-06-20,208.07077026367188
2024-06-21,205.89759826660156
2024-06-24,206.54258728027344
2024-06-25,207.4654541015625
2024-06-26,211.61337280273438
2024-06-27,212.45687866210938
2024-06-28,209.00355529785156
2024-07-01,215.08653259277344
2024-07-02,218.5795135498047
2024-07-03,219.8496856689453
2024-07-05,224.60292053222656
2024-07-08,226.07156372070312
2024-07-09,226.92494201660156
2024-07-10,231.1919403076172
2024-07-11,225.82350158691406
2024-07-12,228.7706756591797
2024-07-15,232.60104370117188
2024-07-16,233.01785278320312
2024-07-17,227.12344360351562
2024-07-18,222.45947265625
2024-07-19,222.58851623535156
2024-07-22,222.24119567871094
2024-07-23,223.2831268310547
2024-07-24,216.86276245117188
2024-07-25,215.8208465576172
2024-07-26,216.28724670410156
2024-07-29,216.56509399414062
2024-07-30,217.12078857421875
2024-07-31,220.3756103515625
2024-08-01,216.68417358398438
